ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,AARSD1,80755,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AATF,26574,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABCB10,23456,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABCB8,11194,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABCC1,4363,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABCF1,23,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABHD17C,58489,PAR-CLIP,20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABL1,25,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ABT1,29777,HITS-CLIP//PAR-CLIP,23592263|24398324|21572407|23313552|27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACACA,31,CLASH//Proteomics,18668040|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACER2,340485,PAR-CLIP,24398324,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACOT9,23597,PAR-CLIP,23592263|23446348,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACPP,55,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACSL1,2180,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACTA1,58,PAR-CLIP,21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACTB,60,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACTG1,71,CLASH//Luciferase reporter assay//Reporter assay,15131085|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACTN4,81,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ACVR1,90,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADCK2,90956,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADCY1,107,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADGRG1,9289,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADGRL2,23266,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADH5,128,HITS-CLIP//PAR-CLIP,23313552|26701625|27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADIPOR2,79602,CLASH//PAR-CLIP,23622248|21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADNP,23394,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ADRM1,11047,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AFF4,27125,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AFG1L,246269,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AGFG2,3268,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AGL,178,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AGO1,26523,CLASH//Immunohistochemistry//Immunoprecipitaion//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot,23622248|23426184,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AGO2,27161,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AGO3,192669,Microarray,17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AHCTF1,25909,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AHCYL1,10768,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AHCYL2,23382,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AHR,196,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AIDA,64853,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AK4,205,PAR-CLIP,23446348|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AKAP8,10270,PAR-CLIP//Proteomics//pSILAC,18668040|21572407|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AKR1A1,10327,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AKT2,208,Luciferase reporter assay//qRT-PCR//Western blot,25288334,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ALDH7A1,501,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ALG3,10195,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AMD1,262,HITS-CLIP,23313552,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AMPH,273,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANAPC1,64682,Microarray//Proteomics//pSILAC//qRT-PCR//Western blot,18668040|26540468,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANKRD17,26057,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANKRD46,157567,PAR-CLIP,22100165|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANKRD52,283373,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANKZF1,55139,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANP32E,81611,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANTXR1,84168,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANXA8,653145,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANXA8L1,728113,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ANXA8L2,244,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AP1S1,1174,PAR-CLIP,23592263|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AP3M1,26985,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,APPL1,26060,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,APRT,353,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AQP6,363,PAR-CLIP,27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AR,367,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARCN1,372,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,AREL1,9870,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARFIP2,23647,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARHGAP17,55114,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARHGAP26,23092,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARHGEF5,7984,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARID3A,1820,Microarray//PAR-CLIP,17699775|23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARID3B,10620,CLASH//PAR-CLIP,23622248|23446348|21572407|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARIH1,25820,PAR-CLIP,21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARL15,54622,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARL6IP1,23204,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARL8B,55207,HITS-CLIP,23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ARPP19,10776,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ASCC3,10973,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ASIC1,41,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ASNA1,439,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ASPA,443,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ASPSCR1,79058,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATAD3B,83858,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATE1,11101,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATG12,9140,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATG4B,23192,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATG9A,79065,PAR-CLIP//Proteomics,18668040|23592263|26701625|27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,ATOX1,475,CLASH,23622248,Breast cancerous tissues
